case_id,agent_type,persona_type,difficulty,v_i,n_runs,mean_s_agent,sd_s_agent,min_s_agent,max_s_agent,stability_label,mean_s_outcome,sd_s_outcome,mean_s_tool,sd_s_tool,mean_s_trajectory,sd_s_trajectory,mean_s_efficiency,sd_s_efficiency,i_fatal_count,i_fatal_rate,mean_net_value,sd_net_value,mean_proxy_cost,run_ids
CASE_001,PlanExecute,VIP,medium,2,3,85.2,3.72,81.7,89.1,stable,84.5,6.76,100.0,0.0,100.0,0.0,53.03,7.18,0,0.0,1.22,0.08,48.69,"1,2,3"
CASE_002,PlanExecute,VIP,hard,3,3,88.43,3.87,86.1,92.9,stable,80.0,17.06,100.0,0.0,91.67,14.43,85.6,24.94,0,0.0,1.89,0.1,75.91,"1,2,3"
CASE_015,PlanExecute,VIP,easy,1,3,83.13,1.3,81.8,84.4,stable,85.13,2.71,100.0,0.0,100.0,0.0,41.8,10.93,0,0.0,0.29,0.07,53.92,"1,2,3"
CASE_075,PlanExecute,VIP,easy,1,3,95.37,2.24,92.8,96.9,stable,100.0,0.0,100.0,0.0,100.0,0.0,76.87,11.31,0,0.0,0.47,0.02,47.9,"1,2,3"
CASE_090,PlanExecute,VIP,medium,2,3,94.47,1.42,93.2,96.0,stable,88.0,10.5,100.0,0.0,100.0,0.0,93.33,11.55,0,0.0,1.41,0.03,47.84,"1,2,3"
CASE_141,PlanExecute,VIP,easy,1,3,97.0,0.3,96.7,97.3,stable,100.0,0.0,100.0,0.0,100.0,0.0,85.0,1.5,0,0.0,0.49,0.0,47.86,"1,2,3"
